ministry_id,ministry_name,department_id,department_name,jurisdiction,document_count,pdf_count
85,NO MINISTRY,781,"Legislative Assembly Secretariat, Government of Tamil Nadu",STATE,8,0
61,State Government,1054,DEPARTMENT OF WOMAN AND CHILD DEVELOPMENT,STATE,29,0
66,NO MINISTRY,141,General Administration Department,STATE,20,0
82,NO MINISTRY,1160,Punjab State Warehousing Corporation,STATE,12,0
70,NO MINISTRY,705,"Energy Department, Government of Jharkhand",STATE,8,0
87,NO MINISTRY,1284,Directorate of Health Services,STATE,8,0
60,NO MINISTRY,1649,Home Department,UNION_TERRITORY,2,0
61,State Government,1375,DEPARTMENT OF ELECTRONICS AND INFORMATION TECHNOLOGY,STATE,13,0
59,NO MINISTRY,251,HOME DEPARTMENT,STATE,17,0
58,NO MINISTRY,524,Agriculture Department,STATE,29,0
56,NO MINISTRY,339,General Administration Department,STATE,5,0
191,HIGHER EDUCATION,1435,HIGHER EDUCATION,STATE,6,0
58,NO MINISTRY,577,Elementary Education Department,STATE,5,0
56,NO MINISTRY,355,Higher Education Department,STATE,12,0
39,Ministry of Food Processing Industries,65,Department of Food Processing Industries,CENTRAL,28,0
91,Andaman and Nicobar Administration,1485,Port Management Board,UNION_TERRITORY,6,0
82,NO MINISTRY,1547,Punjab State AIDS Control Society (PSACS),STATE,2,0
71,NO MINISTRY,599,Water Resources Department,STATE,13,0
18,Ministry of Rural Development,21,Department of Rural Development,CENTRAL,68,0
5,Ministry of Home Affairs,97,Department of Border Management,CENTRAL,22,0
67,NO MINISTRY,1524,URBAN LOCAL BODIES,STATE,16,0
74,NO MINISTRY,262,Revenue Department,STATE,30,0
59,NO MINISTRY,836,EDUCATION DEPARTMENT,STATE,19,0
76,NO MINISTRY,176,MAHUD,STATE,14,0
65,NO MINISTRY,1354,"River Navigation Department, Government of Goa.",STATE,3,0
60,NO MINISTRY,1052,Registering & Licensing Authority,UNION_TERRITORY,5,0
71,NO MINISTRY,592,"Kannada, Culture, Information & Tourism Department",STATE,21,0
69,NO MINISTRY,655,Science and Technology,UNION_TERRITORY,10,0
91,Andaman and Nicobar Administration,1506,Department of Labour Commissioner,UNION_TERRITORY,11,0
61,State Government,1019,DEPARTMENT OF WATER RESOURCES,STATE,6,0
67,NO MINISTRY,1536,"Co-operation Department, Haryana",STATE,5,0
74,NO MINISTRY,308,Environment Department,STATE,15,0
64,NO MINISTRY,788,Department of Urban Development,UNION_TERRITORY,40,0
72,NO MINISTRY,1272,Sports & Youth Affairs,STATE,2,0
60,NO MINISTRY,845,Chandigarh Housing Board,UNION_TERRITORY,8,0
67,NO MINISTRY,105,HEALTH,STATE,6,0
58,NO MINISTRY,732,Finance (Budget) Department,STATE,4,0
71,NO MINISTRY,408,Animal Husbandry & Fisheries Department,STATE,11,0
61,State Government,1227,DEPARTMENT OF FISHERIES,STATE,15,0
201,Ministry of Environment and Forest,1544,Department of Environment and Forest,UNION_TERRITORY,3,0
71,NO MINISTRY,594,"Planning, Programe Monitoring and Statistics Department",STATE,5,0
2,Ministry of Finance,26,Department of Expenditure,CENTRAL,3,0
65,NO MINISTRY,1386,"Science & Technology Department, Government of Goa.",STATE,3,0
91,Andaman and Nicobar Administration,151,Andaman Public Works Department,UNION_TERRITORY,4,0
91,Andaman and Nicobar Administration,1558,The Andaman and Nicobar Islands Wakf Board,UNION_TERRITORY,3,0
72,NO MINISTRY,1355,Cultural Affairs,STATE,1,0
67,NO MINISTRY,1548,"Directorate of Micro, Small and Medium Enterprises (MSME), Haryana",STATE,7,0
63,NO MINISTRY,878,Department of Tourism,UNION_TERRITORY,2,0
31,Ministry of Science and Technology,84,Department of Bio-Technology,CENTRAL,29,0
67,NO MINISTRY,1638,Medical Education and Research,STATE,7,0
60,NO MINISTRY,1229,Municipal Corporation,UNION_TERRITORY,32,3
70,NO MINISTRY,715,"Planning-cum-Finance Department, Government of Jharkhand",STATE,5,0
61,State Government,1080,DEPARTMENT OF GRAMODYOG,STATE,9,0
61,State Government,1165,"DEPARTMENT OF PLANNING, ECONOMICS AND STATISTICS",STATE,11,0
72,NO MINISTRY,1276,Transport,STATE,14,0
85,NO MINISTRY,775,"Handlooms, Handicrafts, Textiles and Khadi Department, Government of Tamil Nadu",STATE,5,0
82,NO MINISTRY,1384,Punjab State Seed Certification Authority,STATE,2,0
86,NO MINISTRY,768,Scheduled Castes Development,STATE,12,0
85,NO MINISTRY,693,"Finance Department, Government of Tamil Nadu",STATE,22,0
194,URBAN DEVELOPMENT,1447,URBAN DEVELOPMENT,STATE,2,0
67,NO MINISTRY,117,HOUSING BOARD HARYANA,STATE,18,0
89,NO MINISTRY,397,DEPARTMENT OF PERSONNEL,STATE,5,0
64,NO MINISTRY,802,Directorate of Education,UNION_TERRITORY,8,0
56,NO MINISTRY,341,Municipal Administration Department,STATE,9,0
80,NO MINISTRY,1287,Higher Education,STATE,11,0
70,NO MINISTRY,814,"Women,Child Development and Social Security Department, Government of Jharkhand",STATE,3,0
82,NO MINISTRY,983,Department of Legal and Legialative Affairs,STATE,3,0
64,NO MINISTRY,790,Department of Food Supplies and Consumer Affairs,UNION_TERRITORY,26,0
58,NO MINISTRY,522,Administrative Reforms and Training Department,STATE,10,0
67,NO MINISTRY,1152,HARYANA STATE LEGAL SERVICES AUTHORITY,STATE,2,0
64,NO MINISTRY,819,Department of Food Safety,UNION_TERRITORY,12,0
70,NO MINISTRY,718,"Excise and Prohibition Department, Government of Jharkhand",STATE,8,0
72,NO MINISTRY,1262,Parliamentary Affairs,STATE,11,0
67,NO MINISTRY,143,SKILL DEVELOPMENT & INDUSTRIAL TRAINING,STATE,2,0
60,NO MINISTRY,1204,Printing and Stationery,UNION_TERRITORY,5,0
70,NO MINISTRY,719,"Urban Development and Housing Department, Government of Jharkhand",STATE,10,0
83,NO MINISTRY,1093,Consumer Affairs Department,STATE,13,0
56,NO MINISTRY,342,Home Department,STATE,15,0
82,NO MINISTRY,1023,Department of Fisheries,STATE,3,0
88,NO MINISTRY,489,Political Pension,STATE,9,0
71,NO MINISTRY,586,Health & Family Welfare Department,STATE,34,0
65,NO MINISTRY,1344,"Directorate of Women & Child, Government of Goa.",STATE,4,0
82,NO MINISTRY,986,Department of Technical Education,STATE,13,0
66,NO MINISTRY,324,Health and Family Welfare Department,STATE,11,0
63,NO MINISTRY,888,Department of Information Technology,UNION_TERRITORY,4,0
88,NO MINISTRY,462,Fisheries,STATE,8,0
87,NO MINISTRY,912,Directorate of Food Civil Supplies & Consumers Affairs,STATE,6,0
71,NO MINISTRY,589,Housing Department,STATE,11,0
67,NO MINISTRY,1642,"Chaudhary Charan Singh Haryana Agriculture University, Hisar",STATE,3,0
67,NO MINISTRY,103,TOWN AND COUNTRY PLANNING DEPARTMENT,STATE,10,0
88,NO MINISTRY,490,Prisons Administration & Reform Services,STATE,11,0
60,NO MINISTRY,852,Education Department (Colleges),UNION_TERRITORY,13,0
65,NO MINISTRY,1072,"Housing Board Department, Government of Goa",STATE,2,0
179,EDUCATION,1302,EDUCATION,STATE,2,0
71,NO MINISTRY,410,Co-operation Department,STATE,36,0
58,NO MINISTRY,405,LEGISLATIVE DEPARTMENT,STATE,15,0
67,NO MINISTRY,1029,"MAHARSHI DAYANAND UNIVERSITY, ROHTAK",STATE,5,0
64,NO MINISTRY,707,Department of Information Technology,UNION_TERRITORY,3,0
76,NO MINISTRY,1027,Cabinet Department,STATE,2,0
60,NO MINISTRY,1035,Chandigarh Pollution Control Committee,UNION_TERRITORY,16,0
56,NO MINISTRY,361,"Health, Medical & Family Welfare Department",STATE,8,0
87,NO MINISTRY,905,General Administration (Administrative Reforms),STATE,5,0
63,NO MINISTRY,893,Department of Transport,UNION_TERRITORY,7,0
86,NO MINISTRY,746,"Consumer Affairs, Food and Civil Supplies",STATE,9,0
85,NO MINISTRY,214,"Information Technology Department, Government of Tamil Nadu",STATE,6,0
66,NO MINISTRY,327,Roads and Buildings Department,STATE,2,0
86,NO MINISTRY,770,"Transport, Roads and Buildings",STATE,4,0
63,NO MINISTRY,874,"Department of Food, Civil Supplies and Consumer Affairs",UNION_TERRITORY,5,0
65,NO MINISTRY,1378,"Public Works Department, Government of Goa",STATE,4,0
72,NO MINISTRY,1250,Forest & Wildlife,STATE,1,0
58,NO MINISTRY,557,Public Enterprises Department,STATE,4,0
72,NO MINISTRY,1255,Home,STATE,12,0
59,NO MINISTRY,812,URBAN DEVELOPMENT AND HOUSING DEPARTMENT,STATE,10,0
